Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,1341.550049,1368.140015,1341.550049,1367.369995,1367.369995,1406600
1/3/2020,1347.859985,1372.5,1345.543945,1360.660034,1360.660034,1186400
1/6/2020,1350,1396.5,1350,1394.209961,1394.209961,1732300
1/7/2020,1397.939941,1402.98999,1390.380005,1393.339966,1393.339966,1502700
1/8/2020,1392.079956,1411.579956,1390.839966,1404.319946,1404.319946,1528000
1/9/2020,1420.569946,1427.329956,1410.27002,1419.829956,1419.829956,1500900
1/10/2020,1427.560059,1434.928955,1418.349976,1429.72998,1429.72998,1820700
1/13/2020,1436.130005,1440.52002,1426.02002,1439.22998,1439.22998,1652300
1/14/2020,1439.01001,1441.800049,1428.369995,1430.880005,1430.880005,1558900
1/15/2020,1430.209961,1441.39502,1430.209961,1439.199951,1439.199951,1282700
1/16/2020,1447.439941,1451.98999,1440.920044,1451.699951,1451.699951,1173700
1/17/2020,1462.910034,1481.295044,1458.219971,1480.390015,1480.390015,2396200
1/21/2020,1479.119995,1491.849976,1471.199951,1484.400024,1484.400024,2036700
1/22/2020,1491,1503.213989,1484.930054,1485.949951,1485.949951,1610800
1/23/2020,1487.640015,1495.52002,1482.099976,1486.650024,1486.650024,1351200
1/24/2020,1493.589966,1495.494995,1465.25,1466.709961,1466.709961,1784600
1/27/2020,1431,1438.069946,1421.199951,1433.900024,1433.900024,1755200
1/28/2020,1443,1456,1432.469971,1452.560059,1452.560059,1577400
1/29/2020,1458.800049,1465.430054,1446.73999,1458.630005,1458.630005,1077700
1/30/2020,1439.959961,1457.280029,1436.400024,1455.839966,1455.839966,1339400
